name,shape,dtype,nodes,edges,divisions,nodes_per_t
6bba_2819ca14,"(100, 64, 256, 256)",uint16,986,949,1,9.9
6bba_283bf9f1,"(100, 64, 256, 256)",uint16,1342,1288,0,13.4
6bba_312f0dc3,"(100, 64, 256, 256)",uint16,520,500,0,6.4
6bba_32db13fc,"(100, 64, 256, 256)",uint16,862,811,1,8.7
6bba_337b1b3a,"(100, 64, 256, 256)",uint16,1272,1213,2,15.7
6bba_372c8cb8,"(100, 64, 256, 256)",uint16,1036,1007,0,10.4
6bba_3a1849c2,"(100, 64, 256, 256)",uint16,1173,1142,0,11.7
6bba_3abfe10a,"(100, 64, 256, 256)",uint16,997,935,1,12.2
6bba_3c5691b6,"(100, 64, 256, 256)",uint16,765,746,2,7.7
6bba_3db54e20,"(100, 64, 256, 256)",uint16,502,474,1,5.3
6bba_3fda6b25,"(100, 64, 256, 256)",uint16,1207,1179,1,12.2
6bba_43fea39d,"(100, 64, 256, 256)",uint16,910,880,0,9.1
6bba_474be664,"(100, 64, 256, 256)",uint16,292,286,1,2.9
6bba_48816121,"(100, 64, 256, 256)",uint16,935,918,5,9.3
6bba_4aa14c89,"(100, 64, 256, 256)",uint16,707,681,0,7.1
6bba_4f99ce20,"(100, 64, 256, 256)",uint16,1057,1010,2,10.7
6bba_4ffd3da3,"(100, 64, 256, 256)",uint16,706,689,3,7.1
6bba_55b7eebe,"(100, 64, 256, 256)",uint16,705,688,1,7.0
6bba_55c70843,"(100, 64, 256, 256)",uint16,490,467,0,6.0
6bba_57b7cc1e,"(100, 64, 256, 256)",uint16,1659,1592,3,16.6
6bba_5a4d9360,"(100, 64, 256, 256)",uint16,747,722,0,7.5
6bba_5b28472a,"(100, 64, 256, 256)",uint16,737,724,0,7.4
6bba_5c039895,"(100, 64, 256, 256)",uint16,1174,1145,3,11.7
6bba_5c824876,"(100, 64, 256, 256)",uint16,1170,1130,1,11.7
6bba_5dfe9ad1,"(100, 64, 256, 256)",uint16,1542,1487,0,15.4
6bba_5f89039d,"(100, 64, 256, 256)",uint16,904,885,0,9.0
6bba_61dd1e0d,"(100, 64, 256, 256)",uint16,558,543,0,5.6
6bba_61ecbe65,"(100, 64, 256, 256)",uint16,640,614,1,6.4
6bba_6321a359,"(100, 64, 256, 256)",uint16,827,798,1,8.4
6bba_6479435d,"(100, 64, 256, 256)",uint16,617,580,0,6.5
6bba_67ebd073,"(100, 64, 256, 256)",uint16,462,438,1,4.6
6bba_6ca87370,"(100, 64, 256, 256)",uint16,1081,1052,1,10.8
6bba_6db0e9b4,"(100, 64, 256, 256)",uint16,449,440,0,5.1
6bba_6feb10f0,"(100, 64, 256, 256)",uint16,1368,1343,0,13.7
6bba_6feeb0b1,"(100, 64, 256, 256)",uint16,1389,1343,0,13.9
6bba_705ec2c9,"(100, 64, 256, 256)",uint16,596,562,1,6.0
6bba_718b21f9,"(100, 64, 256, 256)",uint16,661,652,0,6.6
6bba_74686d6a,"(100, 64, 256, 256)",uint16,586,576,2,5.9
6bba_767a1e17,"(100, 64, 256, 256)",uint16,718,658,0,15.3
6bba_76db78c1,"(100, 64, 256, 256)",uint16,617,604,0,6.2
6bba_784a78c9,"(100, 64, 256, 256)",uint16,1788,1739,1,17.9
6bba_786893ac,"(100, 64, 256, 256)",uint16,1465,1395,3,14.7
6bba_789f8168,"(100, 64, 256, 256)",uint16,713,681,0,7.1
6bba_78a7bd97,"(100, 64, 256, 256)",uint16,886,832,2,9.4
6bba_7af54fde,"(100, 64, 256, 256)",uint16,1131,1092,2,11.3
6bba_7b5d3b2c,"(100, 64, 256, 256)",uint16,565,555,0,5.7
6bba_7d3058ae,"(100, 64, 256, 256)",uint16,1200,1173,2,12.0
6bba_7f87b3d8,"(100, 64, 256, 256)",uint16,1000,934,3,10.1
6bba_80d12824,"(100, 64, 256, 256)",uint16,680,654,1,6.8
6bba_825bd1c6,"(100, 64, 256, 256)",uint16,968,930,0,9.7
6bba_87289e13,"(100, 64, 256, 256)",uint16,724,699,1,7.2
6bba_8b7818bf,"(100, 64, 256, 256)",uint16,741,725,2,7.4
6bba_907271db,"(100, 64, 256, 256)",uint16,945,921,1,9.4
6bba_91951b3a,"(100, 64, 256, 256)",uint16,1188,1148,0,11.9
6bba_96833384,"(100, 64, 256, 256)",uint16,758,721,0,7.7
6bba_969618f6,"(100, 64, 256, 256)",uint16,679,658,3,6.8
6bba_971fa5e0,"(100, 64, 256, 256)",uint16,792,767,0,7.9
6bba_9a41d029,"(100, 64, 256, 256)",uint16,1401,1353,2,14.0
6bba_9e23430b,"(100, 64, 256, 256)",uint16,914,891,1,9.1
6bba_a5e926bb,"(100, 64, 256, 256)",uint16,741,698,0,7.4
6bba_a90a0b9c,"(100, 64, 256, 256)",uint16,1147,1112,0,11.5
6bba_ab78413d,"(100, 64, 256, 256)",uint16,1179,1138,2,11.8
6bba_acd782a8,"(100, 64, 256, 256)",uint16,356,330,0,4.0
6bba_ae82a791,"(100, 64, 256, 256)",uint16,1495,1471,0,14.9
6bba_aeee7805,"(100, 64, 256, 256)",uint16,795,768,1,8.0
6bba_af149c94,"(100, 64, 256, 256)",uint16,1350,1317,0,13.5
6bba_afb141ff,"(100, 64, 256, 256)",uint16,654,626,4,6.5
6bba_b1ae37b9,"(100, 64, 256, 256)",uint16,612,579,0,7.0
6bba_b204cac7,"(100, 64, 256, 256)",uint16,826,811,2,8.3
6bba_b329af44,"(100, 64, 256, 256)",uint16,1316,1268,1,13.2
6bba_b693381b,"(100, 64, 256, 256)",uint16,983,935,0,9.9
6bba_bb9f20c3,"(100, 64, 256, 256)",uint16,1925,1879,3,20.1
6bba_bbb708ca,"(100, 64, 256, 256)",uint16,892,861,0,8.9
6bba_c27cba08,"(100, 64, 256, 256)",uint16,517,493,0,5.2
6bba_c328f2fd,"(100, 64, 256, 256)",uint16,511,500,2,5.3
6bba_c73a1d11,"(100, 64, 256, 256)",uint16,737,710,0,7.8
6bba_cdcfe533,"(100, 64, 256, 256)",uint16,1419,1348,4,17.3
6bba_cf35214c,"(100, 64, 256, 256)",uint16,842,817,0,8.4
6bba_cff5865f,"(100, 64, 256, 256)",uint16,1571,1501,0,16.2
6bba_d0fc38b5,"(100, 64, 256, 256)",uint16,835,813,0,8.3
6bba_d1acb6ff,"(100, 64, 256, 256)",uint16,681,643,1,6.8
6bba_d2b9fc0c,"(100, 64, 256, 256)",uint16,944,921,2,9.4
6bba_d3da753b,"(100, 64, 256, 256)",uint16,887,857,1,8.9
6bba_d5eae175,"(100, 64, 256, 256)",uint16,528,519,0,5.4
6bba_d6ecebbb,"(100, 64, 256, 256)",uint16,886,862,0,8.9
6bba_d82a4fc6,"(100, 64, 256, 256)",uint16,545,530,0,5.5
6bba_debd7bfa,"(100, 64, 256, 256)",uint16,766,729,4,7.7
6bba_df673a83,"(100, 64, 256, 256)",uint16,668,654,4,6.7
6bba_e16ffc58,"(100, 64, 256, 256)",uint16,964,942,1,9.6
6bba_e5e44988,"(100, 64, 256, 256)",uint16,666,634,0,6.7
6bba_ebdf3b34,"(100, 64, 256, 256)",uint16,847,803,2,8.6
6bba_ebff6e76,"(100, 64, 256, 256)",uint16,1318,1264,0,13.2
6bba_ed9377fd,"(100, 64, 256, 256)",uint16,531,508,0,5.3
6bba_edf14583,"(100, 64, 256, 256)",uint16,801,760,0,8.0
6bba_eebc57a5,"(100, 64, 256, 256)",uint16,1026,989,0,10.3
6bba_ef7b4f7e,"(100, 64, 256, 256)",uint16,1234,1201,2,12.6
6bba_f17befbc,"(100, 64, 256, 256)",uint16,1078,1015,0,10.9
6bba_f1fde7e0,"(100, 64, 256, 256)",uint16,476,446,0,4.8
6bba_f20478e9,"(100, 64, 256, 256)",uint16,1003,963,1,10.0
6bba_f4ae811c,"(100, 64, 256, 256)",uint16,1001,965,0,10.0
6bba_f8ffd5e7,"(100, 64, 256, 256)",uint16,389,370,2,4.2
6bba_fbc898dc,"(100, 64, 256, 256)",uint16,655,639,0,6.5
6bba_fc516dc6,"(100, 64, 256, 256)",uint16,788,762,0,7.9
6bba_fc5f39dc,"(100, 64, 256, 256)",uint16,471,458,2,4.7
6bba_fc83837d,"(100, 64, 256, 256)",uint16,957,923,0,9.6
6bba_fe670320,"(100, 64, 256, 256)",uint16,716,680,2,7.2
